@relation training-weka.filters.supervised.instance.SMOTE-C0-K5-P4900.0-S1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.instance.SMOTE-C0-K5-P4900.0-S1-weka.filters.unsupervised.attribute.Remove-R1

@attribute FREC_DOM numeric
@attribute FREC_POS numeric
@attribute MI_CI numeric
@attribute Phenotype {damaging,neutral}

@data
8.79,1.236237,69.28,damaging
14.99,0.019361,85.62,damaging
0.3,0,119.58,damaging
23.65,16.167665,71.66,damaging
6.87,0.212972,99.38,damaging
1.59,0.019384,128.57,damaging
31.23,1.45377,98.9,damaging
5.23,0,56.87,damaging
1.59,0,100.03,damaging
3.94,0.038797,99.35,damaging
5.31,0.019361,103.82,damaging
7.24,0,99.35,damaging
3.79,0,124.48,damaging
38.69,6.873185,120.99,damaging
6.78,0,103.95,damaging
1.59,0,112.72,damaging
1.67,0,90.11,damaging
16.15,3.504356,62.72,damaging
1.59,0.060914,119.58,damaging
31.88,0.232603,99.44,damaging
0.57,0,140.37,damaging
15.45,0.019384,111.72,damaging
0.39,0.040096,99.52,damaging
2.1,0.040609,131.47,damaging
16.97,0.618119,69.28,damaging
13.64,0.193162,85.7,damaging
6.78,0.038767,99.73,damaging
5.72,0.019361,99.77,damaging
12.59,0,99.23,damaging
2.11,0.101523,149,damaging
1.59,0.020305,153.19,damaging
13.9,0.507614,113.12,damaging
23.65,0.020048,99.74,damaging
8.93,1.12034,120.23,damaging
12.93,2.6,67.94,neutral
5.75,0.21,151.05,neutral
11.54,6.4,52.51,neutral
8.18,0.86,111.58,neutral
12.81,0.41,99.2,neutral
19.51,7.28,82.74,neutral
23.01,36.56,98.96,neutral
12.62,0,119.67,neutral
23.86,7.51,52.54,neutral
15.15,27.23,93.31,neutral
16.07,7.5,96.98,neutral
11.74,1.55,129.16,neutral
0.57,0.04,92.47,neutral
0.37,0.02,119.58,neutral
8.4,0.06,116.74,neutral
12.59,18.05,57.87,neutral
18.59,14.08,110.5,neutral
23.65,1.82,111.8,neutral
6.78,1.64,85.14,neutral
23.86,36.83,87.01,neutral
1.67,0.04,32.25,neutral
2.11,0,77.55,neutral
16.42,43.55,51.23,neutral
20.78,16.47,95.79,neutral
17.22,0.39,140.03,neutral
0.15,0,68.72,neutral
18.92,0.02,100.52,neutral
3.33,0.21,101.94,neutral
4.4,0.41,113.76,neutral
12.57,16.88,36.16,neutral
9.22,2.13,47.69,neutral
6.53,0.22,86.7,neutral
19.49,3.64,75.9,neutral
17.36,2.45,19.86,neutral
11.54,3.47,39.7,neutral
9.22,12.28,90.1,neutral
0.39,0.48,111.93,neutral
18.58,1.26,9,neutral
